Body_Type,Kilometers_Driven,Owner_Count,oem,model,modelYear,price,Fuel_Type,Transmission,Engine_CC,Length_mm,Height_mm,Wheel_Base_mm,Kerb_weight_kg,Tyre_Type,Mileage_Kmpl,Max_Power_BHP,Torque_Nm,Seats,Wheel_size,City
Hatchback,120000,3,Maruti,Maruti Celerio,2015,400000.0,Petrol,Manual,998.0,3715.0,1565.0,2425.0,835.0,TubelessRadial,23.1,67.04,90.0,5.0,15.697549201633866,Bangalore
SUV,32706,2,Ford,Ford Ecosport,2018,811000.0,Petrol,Manual,1497.0,3998.0,1647.0,2519.0,1242.0,TubelessRadial,17.0,121.31,150.0,5.0,16.0,Bangalore
Hatchback,11949,1,Tata,Tata Tiago,2018,585000.0,Petrol,Manual,1199.0,3746.0,1535.0,2400.0,1012.0,Tubeless,23.84,84.0,114.0,5.0,14.0,Bangalore
Sedan,17794,1,Hyundai,Hyundai Xcent,2014,462000.0,Petrol,Manual,1197.0,3995.0,1520.0,2425.0,1180.0,TubelessRadial,19.1,81.86,113.75,5.0,14.0,Bangalore
SUV,60000,1,Maruti,Maruti SX4 S Cross,2015,790000.0,Diesel,Manual,1248.0,4300.0,1595.0,2600.0,1230.0,TubelessRadial,23.65,88.5,200.0,5.0,16.0,Bangalore
SUV,20000,1,Jeep,Jeep Compass,2020,1900000.0,Diesel,Manual,1956.0,4395.0,1640.0,2636.0,1551.0,TubelessRadial,17.1,170.0,350.0,5.0,17.0,Bangalore
Hatchback,37772,1,Datsun,Datsun GO,2017,345000.0,Petrol,Manual,1198.0,3785.0,1490.0,2450.0,1070.0,Tubeless,20.63,67.0,104.0,5.0,15.697549201633866,Bangalore
SUV,30000,1,Hyundai,Hyundai Venue,2021,1200000.0,Petrol,Automatic,998.0,3995.0,1605.0,2500.0,1440.0,Radial,18.15,118.35,171.6,5.0,16.0,Bangalore
Sedan,37000,1,Maruti,Maruti Ciaz,2018,960000.0,Petrol,Automatic,1462.0,4490.0,1485.0,2650.0,1105.0,TubelessRadial,20.28,103.25,138.0,5.0,16.0,Bangalore
Hatchback,11949,1,Tata,Tata Tiago,2017,585000.0,Petrol,Manual,1199.0,3746.0,1535.0,2400.0,1012.0,Tubeless,23.84,84.0,114.0,5.0,15.697549201633866,Bangalore
Hatchback,50000,1,Maruti,Maruti Baleno,2018,690000.0,Petrol,Manual,1197.0,3995.0,1510.0,2520.0,870.0,TubelessRadial,21.4,83.1,115.0,5.0,15.697549201633866,Bangalore
Hatchback,24887,1,Hyundai,Hyundai Grand i10,2019,682000.0,Petrol,Automatic,1197.0,3765.0,1520.0,2425.0,1200.0,Tubeless,18.9,81.86,113.75,5.0,14.0,Bangalore
Hatchback,23000,1,Honda,Honda Jazz,2018,825000.0,Petrol,Automatic,1199.0,3955.0,1544.0,2530.0,1066.0,TubelessRadial,18.2,88.7,110.0,5.0,15.0,Bangalore
Hatchback,48928,1,Tata,Tata Tiago,2018,595000.0,Petrol,Automatic,1199.0,3746.0,1535.0,2400.0,1012.0,Tubeless,23.84,83.83,114.0,5.0,14.0,Bangalore
SUV,108862,3,Mahindra,Mahindra XUV500,2014,690000.0,Diesel,Manual,2179.0,4585.0,1785.0,2700.0,1900.0,TubelessRadial,15.1,140.0,330.0,7.0,15.697549201633866,Bangalore
SUV,80000,1,Jeep,Jeep Compass,2018,1350000.0,Diesel,Manual,1956.0,4395.0,1640.0,2636.0,1562.0,TubelessRadial,17.1,170.0,350.0,5.0,17.0,Bangalore
SUV,16000,1,Mercedes-Benz,Mercedes-Benz GLA,2022,5595000.0,Diesel,Automatic,1950.0,4436.0,1611.0,2729.0,1675.0,TubelessRadial,18.9,187.74,400.0,5.0,19.0,Bangalore
Hatchback,65376,2,Hyundai,Hyundai i20,2014,521000.0,Diesel,Manual,1396.0,3995.0,1505.0,2525.0,1120.0,TubelessRadial,21.27,88.76,219.6,5.0,14.0,Bangalore
SUV,10000,1,Tata,Tata Nexon,2022,1005000.0000000001,Petrol,Manual,1199.0,3993.0,1606.0,2498.0,1315.0,TubelessRadial,17.33,118.35,170.0,5.0,15.697549201633866,Bangalore
Sedan,67000,2,Honda,Honda City,2016,775000.0,Petrol,Manual,1497.0,4440.0,1495.0,2600.0,1049.0,TubelessRadial,17.8,117.3,145.0,5.0,15.0,Bangalore
Sedan,100000,3,BMW,BMW 5 Series,2011,2200000.0,Diesel,Automatic,1995.0,4841.0,1468.0,2888.0,1600.0,TubelessRadial,18.48,177.0,35.7,5.0,17.0,Bangalore
Hatchback,18083,1,Maruti,Maruti Swift,2016,582000.0,Petrol,Manual,1197.0,3845.0,1530.0,2450.0,875905.0,TubelessRadial,22.38,88.5,113.0,5.0,15.697549201633866,Bangalore
SUV,30000,1,Renault,Renault Duster,2020,1090000.0,Petrol,Manual,1498.0,4360.0,1695.0,2673.0,1315.0,TubelessRadial,16.42,104.55,142.0,5.0,15.697549201633866,Bangalore
Hatchback,57634,2,Tata,Tata Tiago,2016,457000.0,Petrol,Manual,1199.0,3746.0,1535.0,2400.0,1012.0,Tubeless,23.84,84.0,114.0,5.0,14.0,Bangalore
Sedan,50000,2,Mercedes-Benz,Mercedes-Benz S-Class,2016,4900000.0,Petrol,Automatic,4663.0,5246.0,1494.0,3165.0,2200.0,TubelessRadial,7.81,453.26,700.0,5.0,19.0,Bangalore
Sedan,110000,1,Honda,Honda City,2015,550000.0,Petrol,Manual,1497.0,4440.0,1495.0,2600.0,1049.0,TubelessRadial,17.4,117.3,145.0,5.0,15.0,Bangalore
Hatchback,23447,1,Hyundai,Hyundai Santro,2018,570000.0,Petrol,Automatic,1086.0,3610.0,1560.0,2400.0,1050.0,TubelessRadial,20.3,68.0,99.0,5.0,15.697549201633866,Bangalore
Hatchback,30000,2,Hyundai,Hyundai Santro Xing,2009,220000.00000000003,LPG,Manual,1086.0,3565.0,1590.0,2380.0,845.0,TubelessRadial,13.45,62.1,96.1,5.0,13.0,Bangalore
Sedan,33000,1,Mercedes-Benz,Mercedes-Benz E-Class,2017,4145000.0000000005,Petrol,Automatic,1991.0,5063.0,1494.0,3079.0,1585.0,TubelessRadial,15.0,194.4,300.0,5.0,17.0,Bangalore
SUV,87667,2,Mahindra,Mahindra XUV500,2014,861000.0,Diesel,Manual,2179.0,4585.0,1785.0,2700.0,1900.0,TubelessRadial,15.1,140.0,330.0,7.0,15.697549201633866,Bangalore
Sedan,40000,2,Audi,Audi A4,2016,1785000.0000000002,Diesel,Automatic,1968.0,4701.0,1427.0,2808.0,1595.0,TubelessRadial,17.11,174.33,380.0,5.0,16.0,Bangalore
SUV,79012,2,Mahindra,Mahindra XUV500,2014,802999.9999999999,Diesel,Manual,2179.0,4585.0,1785.0,2700.0,1940.0,TubelessRadial,15.1,140.0,330.0,7.0,17.0,Bangalore
SUV,31344,1,Jeep,Jeep Compass,2021,2565000.0,Diesel,Manual,1956.0,4405.0,1640.0,2636.0,1650.0,TubelessRadial,17.1,167.67,350.0,5.0,18.0,Bangalore
Sedan,50000,1,Hyundai,Hyundai Xcent,2018,674000.0,Petrol,Manual,1197.0,3995.0,1520.0,2425.0,1140.0,Tubeless,20.14,81.86,113.75,5.0,14.0,Bangalore
Hatchback,12434,1,Maruti,Maruti Wagon R,2015,349000.0,Petrol,Manual,998.0,3599.0,1700.0,2400.0,885.0,Tubeless,20.51,67.04,90.0,5.0,15.697549201633866,Bangalore
MUV,60000,2,Maruti,Maruti Ertiga,2019,1050000.0,Petrol,Manual,1462.0,4395.0,1690.0,2740.0,1170.0,TubelessRadial,19.34,103.0,138.0,7.0,15.697549201633866,Bangalore
Sedan,12000,1,Mercedes-Benz,Mercedes-Benz C-Class,2019,4425000.0,Diesel,Automatic,1950.0,4686.0,1442.0,2840.0,1655.0,TubelessRadial,12.6,194.0,400.0,5.0,17.0,Bangalore
Hatchback,40987,2,Maruti,Maruti Wagon R,2015,405999.99999999994,Petrol,Manual,998.0,3599.0,1700.0,2400.0,885.0,Tubeless,20.51,67.04,90.0,5.0,15.697549201633866,Bangalore
